method,domain,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
split_cp,target_s1,S1,20260792,0.7709154421170108,0.8084,1.5418308842340218,2.7034178533498117,0.906,0.836,0.783,0.772,0.745
split_cp,source,S0,20260793,0.7796440474372055,0.906,1.559288094874411,2.0222799224024754,0.995,0.966,0.913,0.871,0.785
split_cp,target_s1,S1,20260793,0.7796440474372055,0.8108,1.559288094874411,2.6413817176901673,0.913,0.831,0.777,0.782,0.751
split_cp,source,S0,20260794,0.7952079553197724,0.903,1.5904159106395446,2.111103038118693,0.994,0.973,0.912,0.837,0.799
split_cp,target_s1,S1,20260794,0.7952079553197724,0.8144,1.5904159106395446,2.724039019393221,0.917,0.835,0.792,0.779,0.749
split_cp,source,S0,20260795,0.7859154223863271,0.8944,1.5718308447726541,2.1594718249497395,1.0,0.975,0.923,0.817,0.757
split_cp,target_s1,S1,20260795,0.7859154223863271,0.8138,1.5718308447726541,2.6630589177035198,0.912,0.845,0.782,0.779,0.751
split_cp,source,S0,20260796,0.800453610465046,0.9056,1.6009072209300919,2.0618254259733972,0.998,0.973,0.922,0.856,0.779
split_cp,target_s1,S1,20260796,0.800453610465046,0.8108,1.6009072209300916,2.7695782374432296,0.914,0.82,0.812,0.764,0.744
split_cp,source,S0,20260797,0.7823417108967519,0.8986,1.5646834217935037,2.1211669326560667,0.998,0.969,0.925,0.845,0.756
split_cp,target_s1,S1,20260797,0.7823417108967519,0.8044,1.5646834217935037,2.7521198349119884,0.913,0.813,0.771,0.775,0.75
split_cp,source,S0,20260798,0.7554147137365308,0.8874,1.5108294274730618,2.075973923233663,0.998,0.964,0.905,0.812,0.758
split_cp,target_s1,S1,20260798,0.7554147137365308,0.8002,1.5108294274730618,2.767729951484759,0.926,0.816,0.75,0.762,0.747
split_cp,source,S0,20260799,0.7935914707662224,0.904,1.5871829415324452,2.1064488106695753,0.999,0.985,0.92,0.845,0.771
split_cp,target_s1,S1,20260799,0.7935914707662224,0.8052,1.587182941532445,2.815423676257129,0.928,0.829,0.777,0.742,0.75
split_cp,source,S0,20260800,0.7479186278801631,0.881,1.4958372557603263,2.1482864254262166,0.993,0.954,0.903,0.824,0.731
split_cp,target_s1,S1,20260800,0.7479186278801631,0.781,1.4958372557603263,2.853955510626081,0.9,0.777,0.748,0.761,0.719
split_cp,source,S0,20260801,0.7124961176988357,0.8726,1.4249922353976712,2.0955750813528753,0.994,0.965,0.876,0.799,0.729
split_cp,target_s1,S1,20260801,0.7124961176988357,0.7692,1.4249922353976712,2.8898099272747113,0.901,0.806,0.714,0.713,0.712
split_cp,source,S0,20260802,0.8046251757896725,0.9078,1.6092503515793448,2.0603093291695207,1.0,0.979,0.911,0.864,0.785
split_cp,target_s1,S1,20260802,0.8046251757896725,0.8098,1.6092503515793448,2.778597171429083,0.916,0.83,0.802,0.757,0.744
split_cp,source,S0,20260803,0.7738408308269514,0.8916,1.5476816616539026,2.1061670112017254,0.999,0.968,0.905,0.834,0.752
split_cp,target_s1,S1,20260803,0.7738408308269514,0.8056,1.5476816616539026,2.7058501598960922,0.909,0.833,0.801,0.739,0.746
split_cp,source,S0,20260804,0.743174831461721,0.8804,1.4863496629234418,2.1046074939597283,0.994,0.959,0.893,0.82,0.736
split_cp,target_s1,S1,20260804,0.743174831461721,0.7774,1.4863496629234418,2.8369872733314323,0.903,0.804,0.749,0.716,0.715
split_cp,source,S0,20260805,0.7708042730438569,0.8984,1.5416085460877138,2.061926194481145,0.997,0.971,0.915,0.846,0.763
split_cp,target_s1,S1,20260805,0.7708042730438569,0.8018,1.5416085460877138,2.7913966396618592,0.909,0.821,0.779,0.768,0.732
split_cp,source,S0,20260806,0.7886999571565356,0.9044,1.5773999143130712,2.109819951130563,0.999,0.973,0.933,0.85,0.767
split_cp,target_s1,S1,20260806,0.7886999571565356,0.8028,1.5773999143130712,2.839029519804804,0.917,0.817,0.795,0.747,0.738
split_cp,source,S0,20260807,0.7464513936481132,0.891,1.4929027872962264,2.0577633142075276,0.997,0.955,0.908,0.846,0.749
split_cp,target_s1,S1,20260807,0.7464513936481132,0.7936,1.4929027872962264,2.7690536127123693,0.891,0.833,0.782,0.756,0.706
split_cp,source,S0,20260808,0.7380544271889724,0.8808,1.4761088543779444,2.1142805134252436,0.994,0.956,0.898,0.816,0.74
split_cp,target_s1,S1,20260808,0.7380544271889724,0.7818,1.4761088543779444,2.812146063753049,0.886,0.794,0.764,0.736,0.729
split_cp,source,S0,20260809,0.7742951945803999,0.8936,1.5485903891608,2.096455701239717,0.998,0.965,0.921,0.848,0.736
split_cp,target_s1,S1,20260809,0.7742951945803999,0.803,1.5485903891608,2.8236587118733545,0.91,0.824,0.775,0.772,0.734
split_cp,source,S0,20260810,0.8118998576988141,0.9098,1.623799715397628,2.125530772486654,0.997,0.979,0.939,0.867,0.767
split_cp,target_s1,S1,20260810,0.8118998576988141,0.8166,1.623799715397628,2.7409617113063,0.928,0.839,0.802,0.773,0.741
split_cp,source,S0,20260811,0.8587268929854203,0.9228,1.717453785970841,2.140003761164887,0.999,0.986,0.935,0.881,0.813
split_cp,target_s1,S1,20260811,0.8587268929854203,0.8388,1.717453785970841,2.6388299119123477,0.94,0.856,0.82,0.793,0.785
split_cp,source,S0,20260812,0.7538104017446661,0.8878,1.507620803489332,2.100135312661199,0.994,0.959,0.906,0.82,0.76
split_cp,target_s1,S1,20260812,0.7538104017446661,0.7876,1.507620803489332,2.773900621064566,0.899,0.787,0.783,0.731,0.738
split_cp,source,S0,20260813,0.7997585342547274,0.9082,1.5995170685094544,2.1095055285520625,0.995,0.979,0.928,0.855,0.784
split_cp,target_s1,S1,20260813,0.7997585342547274,0.804,1.5995170685094544,2.791811720168897,0.912,0.822,0.789,0.761,0.736
split_cp,source,S0,20260814,0.7624750759724991,0.896,1.524950151944998,2.086508669677931,0.993,0.966,0.917,0.836,0.768
split_cp,target_s1,S1,20260814,0.7624750759724991,0.7922,1.524950151944998,2.8819079330385686,0.912,0.824,0.769,0.756,0.7
