method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,weight_q99,infinite_interval_rate,domain_auc
oracle_wcp,S1,20260746,0.9857561253679109,0.8922,1.9715122507358218,2.5932334692163375,0.968,0.892,0.872,0.858,0.871,203.00314605887147,10.918113548133958,nan,0.0,nan
estimated_wcp,S1,20260746,0.9829301901914421,0.8872,1.9658603803828847,2.607976107937938,0.97,0.897,0.877,0.844,0.848,208.81426839144711,9.295866676421046,8.972615467305797,0.0,0.7978280000000001
split_cp,S1,20260747,0.8400800727584139,0.8398,1.6801601455168276,2.6700541279070515,0.932,0.862,0.831,0.806,0.768,nan,nan,nan,nan,nan
oracle_wcp,S1,20260747,1.2433409919251142,0.9564,2.4866819838502283,2.727038831383717,0.993,0.967,0.963,0.935,0.924,199.89128052340646,11.015134241707537,nan,0.0,nan
estimated_wcp,S1,20260747,1.2432994163880968,0.955,2.4865988327761936,2.720816768325727,0.992,0.968,0.942,0.945,0.928,199.94947455326945,9.485639098397574,9.15106910572914,0.0,0.80101
split_cp,S1,20260748,0.8588717105235182,0.8372,1.7177434210470361,2.65255258239204,0.932,0.854,0.807,0.798,0.795,nan,nan,nan,nan,nan
oracle_wcp,S1,20260748,1.050970349520933,0.9142,2.101940699041866,2.562591880739654,0.972,0.919,0.887,0.895,0.898,209.6651676733414,10.871421484235034,nan,0.0,nan
estimated_wcp,S1,20260748,1.0448667438122583,0.9102,2.0897334876245166,2.5610630363506264,0.975,0.923,0.899,0.875,0.879,218.00096590442737,9.08609578050486,8.537461732885836,0.0,0.798154
split_cp,S1,20260749,0.789480802180851,0.8148,1.5789616043617019,2.7085483972718394,0.933,0.821,0.785,0.792,0.743,nan,nan,nan,nan,nan
oracle_wcp,S1,20260749,0.9396413472079054,0.8778,1.8792826944158108,2.551008844260483,0.957,0.894,0.855,0.865,0.818,213.2004951582915,10.975839522280706,nan,0.0,nan
