method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
m0_gaussian,S0,20260737,0.777279588571267,0.8968,1.554559177142534,2.0926942161218327,0.999,0.965,0.918,0.833,0.769
split_cp,S0,20260737,0.8155340432645445,0.91,1.6310680865290892,2.095101743444027,0.999,0.97,0.93,0.856,0.795
m0_gaussian,S0,20260738,0.7978411427407066,0.908,1.595682285481413,2.098454915619983,0.996,0.985,0.938,0.837,0.784
split_cp,S0,20260738,0.7561971733963099,0.895,1.5123943467926202,2.0971046730198104,0.995,0.976,0.922,0.815,0.767
m0_gaussian,S0,20260739,0.8354073099006375,0.9186,1.670814619801275,2.0789736317627803,0.998,0.981,0.945,0.867,0.802
split_cp,S0,20260739,0.8588849181082272,0.9254,1.7177698362164548,2.0893786695096743,0.998,0.984,0.955,0.877,0.813
m0_gaussian,S0,20260740,0.7793129126833604,0.8958,1.5586258253667213,2.0937950656426376,0.996,0.965,0.91,0.84,0.768
split_cp,S0,20260740,0.7862807155438276,0.898,1.572561431087655,2.0934006653520463,0.996,0.966,0.915,0.842,0.771
m0_gaussian,S0,20260741,0.7860931737304575,0.9006,1.5721863474609152,2.1214487807083793,1.0,0.973,0.925,0.845,0.76
split_cp,S0,20260741,0.7939595664329584,0.902,1.5879191328659166,2.121653084664906,1.0,0.973,0.927,0.846,0.764
m0_gaussian,S0,20260742,0.759845650776461,0.8962,1.5196913015529219,2.086450496261619,0.995,0.974,0.914,0.834,0.764
split_cp,S0,20260742,0.7564667528790876,0.8948,1.5129335057581752,2.0867392733027943,0.995,0.973,0.912,0.832,0.762
m0_gaussian,S0,20260743,0.751941229232552,0.8872,1.503882458465104,2.104639069610083,1.0,0.958,0.91,0.824,0.744
split_cp,S0,20260743,0.7584329072994959,0.8888,1.5168658145989922,2.103109162991343,1.0,0.959,0.911,0.827,0.747
m0_gaussian,S0,20260744,0.7981183172858527,0.9056,1.5962366345717054,2.095303725793693,0.998,0.973,0.926,0.843,0.788
split_cp,S0,20260744,0.7696067839378956,0.8946,1.539213567875791,2.0950940648923666,0.996,0.97,0.919,0.826,0.762
m0_gaussian,S0,20260745,0.7799625981720618,0.8956,1.5599251963441234,2.1149881159370794,0.996,0.968,0.921,0.831,0.762
split_cp,S0,20260745,0.7821812625226332,0.8962,1.5643625250452666,2.1148102210883946,0.996,0.968,0.921,0.833,0.763
m0_gaussian,S0,20260746,0.7486202600589856,0.8856,1.4972405201179715,2.1005422280369594,0.996,0.964,0.895,0.81,0.763
split_cp,S0,20260746,0.7819704970929482,0.896,1.5639409941858964,2.094311474781746,0.997,0.972,0.902,0.826,0.783
m0_gaussian,S0,20260747,0.8601625636101018,0.9278,1.7203251272202036,2.130154579465266,0.999,0.984,0.953,0.9,0.803
split_cp,S0,20260747,0.8400800727584139,0.9228,1.6801601455168276,2.120035623112974,0.998,0.983,0.948,0.891,0.794
m0_gaussian,S0,20260748,0.8222104422963872,0.9088,1.6444208845927744,2.074872407294752,0.996,0.972,0.914,0.858,0.804
split_cp,S0,20260748,0.8588717105235182,0.9212,1.7177434210470361,2.085703418468849,0.999,0.981,0.923,0.876,0.827
m0_gaussian,S0,20260749,0.7582404318796325,0.8944,1.5164808637592648,2.078635353429245,0.998,0.964,0.902,0.853,0.755
split_cp,S0,20260749,0.789480802180851,0.9072,1.5789616043617019,2.079049716726638,0.999,0.974,0.919,0.868,0.776
m0_gaussian,S0,20260750,0.7657266200937582,0.8898,1.5314532401875167,2.159782658411829,0.998,0.974,0.888,0.831,0.758
split_cp,S0,20260750,0.7521331272082782,0.8858,1.5042662544165566,2.1630575477821354,0.997,0.973,0.887,0.823,0.749
m0_gaussian,S0,20260751,0.764449838907552,0.8992,1.5288996778151043,2.081374685381493,0.995,0.959,0.923,0.858,0.761
split_cp,S0,20260751,0.7586219953616548,0.8972,1.5172439907233095,2.0816134313434977,0.995,0.959,0.92,0.857,0.755
m0_gaussian,S0,20260752,0.7922613013818564,0.8952,1.5845226027637125,2.1523409787825964,0.996,0.967,0.921,0.847,0.745
split_cp,S0,20260752,0.7933011552262752,0.896,1.5866023104525502,2.1522477714507966,0.997,0.968,0.922,0.847,0.746
m0_gaussian,S0,20260753,0.8066547742319724,0.9066,1.613309548463945,2.097293507719457,1.0,0.977,0.927,0.854,0.775
split_cp,S0,20260753,0.8028050018126434,0.906,1.605610003625287,2.0968114986188624,1.0,0.977,0.926,0.854,0.773
m0_gaussian,S0,20260754,0.7904165713072544,0.8974,1.5808331426145086,2.1003264860212023,0.995,0.969,0.907,0.84,0.776
split_cp,S0,20260754,0.7957024521848848,0.9004,1.5914049043697693,2.1001887227995044,0.995,0.97,0.91,0.848,0.779
m0_gaussian,S0,20260755,0.8410154707528467,0.9158,1.6820309415056938,2.093051291000735,0.995,0.978,0.932,0.878,0.796
split_cp,S0,20260755,0.8283051018305333,0.912,1.656610203661067,2.089472288132044,0.995,0.974,0.929,0.872,0.79
m0_gaussian,S0,20260756,0.7314079523607004,0.8816,1.4628159047214009,2.099436359534787,0.997,0.955,0.912,0.798,0.746
split_cp,S0,20260756,0.7096209552750214,0.8724,1.4192419105500427,2.1094248154403177,0.996,0.948,0.899,0.787,0.732
m0_gaussian,S0,20260757,0.8129855874315898,0.914,1.6259711748631793,2.082128466508653,0.995,0.976,0.937,0.872,0.79
split_cp,S0,20260757,0.8128443823042986,0.914,1.6256887646085971,2.0820889290730116,0.995,0.976,0.937,0.872,0.79
m0_gaussian,S0,20260758,0.82706625967664,0.919,1.65413251935328,2.0857333082456857,0.999,0.985,0.932,0.877,0.802
split_cp,S0,20260758,0.8480131848163822,0.9262,1.6960263696327647,2.095111221857751,1.0,0.991,0.936,0.887,0.817
m0_gaussian,S0,20260759,0.7923294881084786,0.9068,1.5846589762169572,2.052867557338138,0.998,0.983,0.921,0.842,0.79
split_cp,S0,20260759,0.8129538157435046,0.914,1.6259076314870093,2.0571930811896277,0.999,0.988,0.927,0.851,0.805
m0_gaussian,S0,20260760,0.7386494423111374,0.89,1.477298884622275,2.102253623253644,0.996,0.967,0.914,0.817,0.756
split_cp,S0,20260760,0.7521812538310946,0.8944,1.5043625076621894,2.10016541513435,0.996,0.97,0.919,0.823,0.764
m0_gaussian,S0,20260761,0.7465582479604517,0.8882,1.4931164959209033,2.060494261157479,0.995,0.966,0.892,0.841,0.747
split_cp,S0,20260761,0.7929570955359325,0.9058,1.5859141910718648,2.057805247028706,0.997,0.976,0.916,0.862,0.778
m0_gaussian,S0,20260762,0.804908633710723,0.9066,1.609817267421446,2.10780580155154,0.998,0.974,0.938,0.86,0.763
split_cp,S0,20260762,0.7849048618263246,0.8992,1.5698097236526494,2.1065693599151576,0.998,0.971,0.931,0.848,0.748
m0_gaussian,S0,20260763,0.7705175913488311,0.8964,1.541035182697662,2.1321371684706634,0.998,0.977,0.907,0.838,0.762
split_cp,S0,20260763,0.7524352087855809,0.887,1.504870417571162,2.1352627858439126,0.996,0.976,0.895,0.826,0.742
m0_gaussian,S0,20260764,0.7644390752537398,0.8856,1.5288781505074793,2.0969496189600965,0.995,0.971,0.891,0.81,0.761
split_cp,S0,20260764,0.7668919591332188,0.8864,1.5337839182664375,2.0962643832531462,0.995,0.971,0.892,0.811,0.763
m0_gaussian,S0,20260765,0.802856249318536,0.9074,1.6057124986370719,2.089278540093394,0.996,0.976,0.919,0.87,0.776
split_cp,S0,20260765,0.8220997313012541,0.9136,1.644199462602508,2.093316126283353,0.998,0.978,0.928,0.877,0.787
m0_gaussian,S0,20260766,0.8382012359368788,0.9176,1.6764024718737571,2.112977521398216,1.0,0.977,0.937,0.882,0.792
split_cp,S0,20260766,0.820280876677381,0.9126,1.6405617533547623,2.107420750136133,0.999,0.976,0.931,0.875,0.782
m0_gaussian,S0,20260767,0.8032274024315639,0.8998,1.606454804863128,2.093644867830005,0.995,0.974,0.932,0.839,0.759
split_cp,S0,20260767,0.8110280484476671,0.9028,1.6220560968953344,2.093839232994713,0.995,0.975,0.934,0.843,0.767
m0_gaussian,S0,20260768,0.8150367446861501,0.9108,1.6300734893723001,2.1037002741373216,0.998,0.978,0.936,0.864,0.778
split_cp,S0,20260768,0.8048244747824875,0.9072,1.6096489495649746,2.1018904569778454,0.998,0.976,0.934,0.861,0.767
m0_gaussian,S0,20260769,0.7507421843317628,0.891,1.5014843686635257,2.1272440335448737,0.994,0.975,0.919,0.83,0.737
split_cp,S0,20260769,0.7893018757454036,0.9044,1.578603751490807,2.1252332526452227,0.997,0.981,0.93,0.858,0.756
m0_gaussian,S0,20260770,0.8256912516529221,0.918,1.6513825033058442,2.068941397232993,0.998,0.984,0.932,0.872,0.804
split_cp,S0,20260770,0.8298540697977133,0.919,1.6597081395954265,2.0704661715440067,0.998,0.984,0.933,0.874,0.806
m0_gaussian,S0,20260771,0.8334953674266904,0.9186,1.6669907348533801,2.111444370832774,1.0,0.977,0.941,0.866,0.809
split_cp,S0,20260771,0.8191170359564808,0.9142,1.6382340719129616,2.1067830055544463,0.999,0.977,0.936,0.86,0.799
m0_gaussian,S0,20260772,0.7799929086534679,0.906,1.559985817306936,2.0830193200305454,1.0,0.975,0.917,0.863,0.775
split_cp,S0,20260772,0.8348060972683521,0.9226,1.6696121945367037,2.0987756699479925,1.0,0.983,0.94,0.892,0.798
m0_gaussian,S0,20260773,0.7992822051173165,0.903,1.5985644102346332,2.0818735032484725,0.999,0.971,0.92,0.857,0.768
split_cp,S0,20260773,0.8533824029144721,0.9202,1.7067648058289444,2.0946834742270277,1.0,0.985,0.94,0.879,0.797
m0_gaussian,S0,20260774,0.8037265990157749,0.9082,1.6074531980315498,2.0815673572918625,0.999,0.977,0.932,0.853,0.78
split_cp,S0,20260774,0.864464404994575,0.9288,1.72892880998915,2.103414445659876,1.0,0.984,0.951,0.883,0.826
m0_gaussian,S0,20260775,0.7605317584151362,0.8908,1.5210635168302724,2.133568270111998,0.998,0.974,0.919,0.816,0.747
split_cp,S0,20260775,0.774850706650049,0.895,1.5497014133000981,2.1315339930649184,0.999,0.975,0.925,0.824,0.752
m0_gaussian,S0,20260776,0.7896595057684521,0.8974,1.5793190115369045,2.1300354742097114,0.998,0.974,0.919,0.835,0.761
split_cp,S0,20260776,0.8187912335910112,0.9072,1.6375824671820225,2.1316049722080663,0.999,0.98,0.93,0.851,0.776
m0_gaussian,S0,20260777,0.8209551300712683,0.9128,1.6419102601425366,2.066759778495449,0.998,0.979,0.935,0.846,0.806
split_cp,S0,20260777,0.8284411508658429,0.915,1.656882301731686,2.068856346606205,0.998,0.979,0.936,0.851,0.811
m0_gaussian,S0,20260778,0.8053895468300708,0.9038,1.6107790936601418,2.1335829373522994,0.998,0.978,0.908,0.854,0.781
split_cp,S0,20260778,0.8114179094461956,0.9052,1.622835818892391,2.1341342955034723,0.998,0.979,0.911,0.855,0.783
m0_gaussian,S0,20260779,0.741530852079754,0.8888,1.4830617041595084,2.0361119898207174,0.994,0.962,0.921,0.825,0.742
split_cp,S0,20260779,0.7688674633602401,0.901,1.53773492672048,2.03308241248426,0.996,0.969,0.932,0.847,0.761
m0_gaussian,S0,20260780,0.8026226703018355,0.9046,1.605245340603671,2.0815104378507963,0.998,0.973,0.923,0.838,0.791
split_cp,S0,20260780,0.8191549515795006,0.9126,1.6383099031590014,2.08429737312448,0.998,0.976,0.93,0.853,0.806
m0_gaussian,S0,20260781,0.7873786686242693,0.897,1.5747573372485384,2.1351519366521576,0.994,0.962,0.915,0.835,0.779
split_cp,S0,20260781,0.7876050487214861,0.8972,1.5752100974429724,2.135139156663431,0.994,0.962,0.916,0.835,0.779
m0_gaussian,S0,20260782,0.7126544892366593,0.8726,1.4253089784733184,2.1296931292541847,0.996,0.95,0.875,0.805,0.737
split_cp,S0,20260782,0.701256063855007,0.8674,1.4025121277100145,2.1363800830754736,0.995,0.948,0.87,0.797,0.727
m0_gaussian,S0,20260783,0.7230462887819599,0.8738,1.4460925775639202,2.106112853715141,0.995,0.952,0.878,0.818,0.726
split_cp,S0,20260783,0.7168486773678738,0.871,1.4336973547357474,2.109512799006445,0.994,0.95,0.875,0.814,0.722
m0_gaussian,S0,20260784,0.7831306607405152,0.9056,1.5662613214810306,2.03481447846241,0.997,0.969,0.917,0.839,0.806
split_cp,S0,20260784,0.7605048875491116,0.8988,1.5210097750982232,2.0338612313001323,0.997,0.969,0.915,0.824,0.789
m0_gaussian,S0,20260785,0.731713173638074,0.8786,1.4634263472761477,2.1198487604280314,0.988,0.963,0.908,0.813,0.721
split_cp,S0,20260785,0.740611778862262,0.8828,1.4812235577245243,2.1164448698030958,0.988,0.966,0.912,0.822,0.726
m0_gaussian,S0,20260786,0.7453429604423927,0.881,1.4906859208847854,2.1457555722039197,0.996,0.955,0.897,0.809,0.748
split_cp,S0,20260786,0.7601186381398105,0.8878,1.520237276279621,2.141144365071829,0.996,0.963,0.907,0.815,0.758
m0_gaussian,S0,20260787,0.7941035200663722,0.9068,1.5882070401327442,2.050727358703085,0.997,0.974,0.922,0.856,0.785
split_cp,S0,20260787,0.8130174670724792,0.9144,1.626034934144958,2.054663677299858,0.998,0.979,0.929,0.865,0.801
m0_gaussian,S0,20260788,0.736057421337065,0.8758,1.4721148426741302,2.167589981659717,0.996,0.962,0.875,0.799,0.747
