method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,infinite_interval_rate
oracle_wcp,S1,20260783,0.9355234161100725,0.8754,1.871046832220145,2.5836547870078856,0.959,0.903,0.844,0.847,0.824,210.56401419245958,10.789942247199708,0.0
split_cp,S1,20260784,0.7605048875491116,0.7994,1.5210097750982232,2.723802098253068,0.921,0.793,0.772,0.747,0.764,nan,nan,nan
oracle_wcp,S1,20260784,0.9420179881844076,0.8814,1.8840359763688153,2.5162589335797034,0.959,0.888,0.872,0.833,0.855,218.47883417165914,10.987456644690843,0.0
split_cp,S1,20260785,0.740611778862262,0.7802,1.4812235577245243,2.8543016296855956,0.905,0.824,0.762,0.721,0.689,nan,nan,nan
oracle_wcp,S1,20260785,0.9735088431208733,0.8892,1.9470176862417465,2.5665738595331042,0.968,0.908,0.889,0.858,0.823,202.73832609015312,10.867874651251688,0.0
split_cp,S1,20260786,0.7601186381398105,0.7892,1.520237276279621,2.8745060318067357,0.911,0.799,0.776,0.738,0.722,nan,nan,nan
oracle_wcp,S1,20260786,0.9911626544232885,0.8896,1.982325308846577,2.6126273809239056,0.97,0.893,0.885,0.855,0.845,199.70184265118192,10.902537730190216,0.0
split_cp,S1,20260787,0.8130174670724792,0.8228,1.626034934144958,2.615371826701248,0.925,0.839,0.796,0.787,0.767,nan,nan,nan
oracle_wcp,S1,20260787,1.0076666975997874,0.9088,2.015333395199575,2.4964889758670337,0.97,0.926,0.893,0.883,0.872,206.72501598876514,10.970554443582305,0.0
split_cp,S1,20260788,0.7714876928537857,0.7952,1.5429753857075712,2.871997879481514,0.904,0.826,0.779,0.726,0.741,nan,nan,nan
oracle_wcp,S1,20260788,0.9368428700621045,0.8724,1.873685740124209,2.651485449724244,0.956,0.892,0.848,0.825,0.841,192.0712222918742,10.988607946972685,0.0
split_cp,S1,20260789,0.7190983321935263,0.781,1.4381966643870527,2.8312522430664036,0.896,0.806,0.756,0.729,0.718,nan,nan,nan
oracle_wcp,S1,20260789,0.9746017069898284,0.8912,1.9492034139796568,2.523002140957106,0.972,0.913,0.866,0.861,0.844,194.09117776613095,10.947906457220046,0.0
split_cp,S1,20260790,0.7697335337188917,0.8,1.5394670674377835,2.7362652028127266,0.908,0.832,0.748,0.764,0.748,nan,nan,nan
oracle_wcp,S1,20260790,1.078697602605314,0.9256,2.157395205210628,2.5498989490940076,0.987,0.946,0.901,0.899,0.895,195.41454180678815,10.947814774923636,0.0
split_cp,S1,20260791,0.8250208675133205,0.8176,1.6500417350266405,2.7398385333797144,0.908,0.858,0.793,0.779,0.75,nan,nan,nan
oracle_wcp,S1,20260791,1.0307435209358078,0.9052,2.0614870418716156,2.5869860844595474,0.96,0.93,0.898,0.873,0.865,215.28823331637264,11.0047870718279,0.0
split_cp,S1,20260792,0.7709154421170108,0.8068,1.5418308842340218,2.735533728189929,0.92,0.82,0.795,0.768,0.731,nan,nan,nan
oracle_wcp,S1,20260792,1.1153659033939467,0.9336,2.2307318067878934,2.594396166835855,0.985,0.948,0.921,0.921,0.893,189.86875749491315,11.011343393833268,0.0
split_cp,S1,20260793,0.7796440474372055,0.8076,1.559288094874411,2.691300462666392,0.906,0.811,0.786,0.778,0.757,nan,nan,nan
oracle_wcp,S1,20260793,0.937525019777583,0.88,1.875050039555166,2.5162852037391663,0.947,0.882,0.857,0.868,0.846,206.97390234327813,10.897383666654422,0.0
split_cp,S1,20260794,0.7952079553197724,0.8164,1.5904159106395446,2.749237251369041,0.936,0.832,0.782,0.756,0.776,nan,nan,nan
oracle_wcp,S1,20260794,0.9662328531427942,0.8856,1.9324657062855883,2.58262780436552,0.964,0.909,0.863,0.841,0.851,206.4418960098766,10.839916211382182,0.0
split_cp,S1,20260795,0.7859154223863271,0.7996,1.5718308447726541,2.8373352033939234,0.914,0.826,0.799,0.731,0.728,nan,nan,nan
oracle_wcp,S1,20260795,1.078399158101423,0.9164,2.156798316202846,2.6216468629033782,0.972,0.934,0.917,0.88,0.879,205.16517059012625,10.98805295397832,0.0
split_cp,S1,20260796,0.800453610465046,0.8118,1.6009072209300916,2.745071483744933,0.924,0.819,0.792,0.779,0.745,nan,nan,nan
oracle_wcp,S1,20260796,0.9981544552010344,0.8944,1.9963089104020688,2.576896695007749,0.965,0.907,0.871,0.876,0.853,206.93039951298272,10.990637374097576,0.0
split_cp,S1,20260797,0.7823417108967519,0.8006,1.5646834217935037,2.7949595091674704,0.907,0.81,0.792,0.767,0.727,nan,nan,nan
oracle_wcp,S1,20260797,0.9559298365997744,0.881,1.9118596731995487,2.58820590068001,0.953,0.899,0.874,0.849,0.83,202.66525875849896,11.000938752438003,0.0
split_cp,S1,20260798,0.7554147137365308,0.7914,1.5108294274730618,2.7770508610714706,0.892,0.819,0.773,0.743,0.73,nan,nan,nan
oracle_wcp,S1,20260798,1.0285582240162015,0.9126,2.057116448032403,2.5147644217029566,0.967,0.923,0.906,0.874,0.893,221.19774554891572,10.970229491910079,0.0
split_cp,S1,20260799,0.7935914707662224,0.8114,1.587182941532445,2.7110072663295885,0.923,0.844,0.789,0.772,0.729,nan,nan,nan
oracle_wcp,S1,20260799,0.9368630067914575,0.8784,1.873726013582915,2.5522630798727466,0.956,0.906,0.856,0.841,0.833,205.16155658246413,10.88297463139879,0.0
split_cp,S1,20260800,0.7479186278801631,0.7792,1.4958372557603263,2.9070028874341385,0.885,0.799,0.771,0.739,0.702,nan,nan,nan
oracle_wcp,S1,20260800,1.0421654423023734,0.9082,2.084330884604747,2.613241816863535,0.966,0.927,0.905,0.883,0.86,200.10558518404298,10.935271780718786,0.0
split_cp,S1,20260801,0.7124961176988357,0.7706,1.4249922353976712,2.8699123647393243,0.885,0.8,0.739,0.725,0.704,nan,nan,nan
oracle_wcp,S1,20260801,0.9399665973973533,0.8802,1.8799331947947067,2.5265889494378944,0.956,0.907,0.854,0.845,0.839,204.57160568004804,10.985364061422992,0.0
split_cp,S1,20260802,0.8046251757896725,0.8158,1.6092503515793448,2.683134869385136,0.91,0.842,0.798,0.779,0.75,nan,nan,nan
oracle_wcp,S1,20260802,1.0358763689303168,0.9128,2.0717527378606335,2.53245658045198,0.972,0.939,0.887,0.881,0.885,204.1214070083654,10.971659732326955,0.0
split_cp,S1,20260803,0.7738408308269514,0.7956,1.5476816616539026,2.83128064606603,0.919,0.823,0.768,0.736,0.732,nan,nan,nan
oracle_wcp,S1,20260803,1.077659683620438,0.917,2.155319367240876,2.585004592717299,0.972,0.93,0.902,0.896,0.885,203.73966726391023,10.617911559408602,0.0
split_cp,S1,20260804,0.743174831461721,0.7774,1.4863496629234418,2.881383264892095,0.888,0.807,0.772,0.726,0.694,nan,nan,nan
